chips,time
5.0,
4.95,2016-04-16 01:04:06
4.95,2016-04-16 01:04:11
4.95,2016-04-16 01:04:20
4.95,2016-04-16 01:04:28
4.9,2016-04-16 01:04:41
4.88,2016-04-16 01:04:51
4.88,2016-04-16 01:05:04
4.43,2016-04-16 01:06:04
4.41,2016-04-16 01:06:13
4.41,2016-04-16 01:06:17
4.36,2016-04-16 01:06:33
4.36,2016-04-16 01:06:38
4.36,2016-04-16 01:06:48
4.36,2016-04-16 01:06:59
4.36,2016-04-16 01:07:03
4.31,2016-04-16 01:07:21
4.31,2016-04-16 01:07:29
4.31,2016-04-16 01:07:34
1.47,2016-04-16 01:08:29
1.47,2016-04-16 01:08:34
1.47,2016-04-16 01:08:45
1.58,2016-04-16 01:09:50
1.58,2016-04-16 01:09:54
1.58,2016-04-16 01:10:07
1.58,2016-04-16 01:10:14
1.74,2016-04-16 01:10:51
1.74,2016-04-16 01:11:01
